Frame,Model,Class,Confidence,X1,Y1,X2,Y2
236,YOLOv11,tv,0.5,322,82,518,194
237,YOLOv10,person,0.8,310,425,433,479
237,YOLOv11,person,0.84,310,425,433,479
238,YOLOv10,person,0.69,310,429,432,479
238,YOLOv11,person,0.81,310,429,432,479
239,YOLOv10,person,0.73,312,431,432,479
239,YOLOv11,person,0.85,312,431,432,479
240,YOLOv10,person,0.78,312,430,432,479
240,YOLOv11,person,0.85,310,430,432,479
241,YOLOv10,person,0.78,312,430,432,479
241,YOLOv11,person,0.85,310,430,432,479
242,YOLOv10,person,0.82,312,431,432,479
242,YOLOv11,person,0.85,310,431,432,479
243,YOLOv10,person,0.71,312,431,432,479
243,YOLOv11,person,0.85,310,431,432,479
244,YOLOv10,person,0.74,312,430,432,479
244,YOLOv11,person,0.85,310,431,432,479
245,YOLOv10,person,0.7,310,431,432,479
245,YOLOv11,person,0.85,310,432,432,479
246,YOLOv10,person,0.85,310,432,430,479
246,YOLOv11,person,0.84,310,432,430,479
247,YOLOv10,person,0.8,310,434,430,479
247,YOLOv11,person,0.83,309,434,430,479
248,YOLOv10,person,0.68,310,437,429,479
248,YOLOv11,person,0.77,309,437,429,479
257,YOLOv10,person,0.8,293,361,430,479
257,YOLOv11,person,0.81,293,360,430,479
258,YOLOv10,person,0.71,297,382,424,479
258,YOLOv11,person,0.57,297,381,426,479
259,YOLOv10,person,0.89,297,384,424,479
259,YOLOv11,person,0.86,297,384,424,479
260,YOLOv10,person,0.89,297,384,424,479
260,YOLOv11,person,0.86,297,384,424,479
261,YOLOv10,person,0.85,293,378,430,479
261,YOLOv11,person,0.83,294,378,429,479
262,YOLOv10,person,0.85,292,376,430,479
262,YOLOv11,person,0.78,293,376,429,479
263,YOLOv10,person,0.87,292,376,430,479
263,YOLOv11,person,0.84,294,377,428,479
264,YOLOv11,person,0.65,296,370,429,479
265,YOLOv10,vase,0.58,298,345,424,479
266,YOLOv10,vase,0.81,297,299,424,479
266,YOLOv11,vase,0.66,298,308,424,479
267,YOLOv10,person,0.53,290,278,438,479
267,YOLOv11,person,0.59,292,279,440,479
268,YOLOv10,vase,0.75,294,291,428,479
269,YOLOv10,vase,0.75,294,291,428,479
270,YOLOv10,person,0.63,292,299,432,479
270,YOLOv11,person,0.8,293,299,430,479
